categories
SteamVR Collectibles
Co-op
Mods
Local Multi-Player
Mods (require HL2)
Partial Controller Support
Shared/Split Screen
Stats
VR Support
Local Co-op
Multi-player
Steam Achievements
Steam Leaderboards
Online Multi-Player
Includes level editor
Steam Turn Notifications
Single-player
Includes Source SDK
Captions available
In-App Purchases
Steam Cloud
Commentary available
Online Co-op
Steam Workshop
Valve Anti-Cheat enabled
Full controller support
MMO
Steam Trading Cards
Cross-Platform Multiplayer
